root_norm	stem	form_tag	instance_count	idafa_dependent_count	idafa_head_count	adjective_count	prep_complement_count	governing_relation_profile	idafa_root_profile	adjective_root_profile	prep_profile	sample_refs
ح ي ي	حيوان	NOUN_CONCRETE	1	0	0	0	0	predication:1				29:64:16
ح ي ي	محيا	GERUND_MEEM	2	0	0	0	0	conjoined:2;predication:1				6:162:7;45:21:15
ح ي ي	محيي	NOUN_ACTIVE_PART	2	0	1	0	0	predication:2;idafa:1;direct_object:1				30:50:15;41:39:20
ح ي ي	يحيى	NOUN_PROP	4	0	0	0	1	circumstantial:4;prep_complement:1;predication:1;vocative:1;direct_object:1			بـ:1	3:39:14;19:7:8;19:12:2;21:90:7
ح ي ي	يحيى	NOUN_PROP_FOREIGN	1	0	0	0	0	conjoined:1				6:85:4
خ ب أ	خبء	NOUN_CONCRETE	1	0	0	0	0	direct_object:1;prep_complement:1			فِي:1	27:25:7
خ ب ت	مخبت	NOUN_ACTIVE_PART	1	0	0	0	0	direct_object:1				22:34:26
خ ب ث	خبائث	NOUN_ABSTRACT	2	0	0	0	0	direct_object:2				7:157:29;21:74:14
خ ب ث	خبيث	ADJ_COMP	1	0	0	0	1	prep_complement:1;predication:1			لـ:1	24:26:7
خ ب ث	خبيث	ADJ_QUALIT	12	1	0	0	1	direct_object:5;prep_complement:3;predication:3;adjective:2;subject:1;conjoined:1;idafa:1;apposition:1	ك ث ر:1		لـ:3	2:267:19;3:179:13;4:2:8;5:100:4;5:100:11;8:37:4;8:37:9;14:26:4;14:26:7;24:26:1
خ ب ر	أخبار	NOUN_ABSTRACT	3	2	2	0	1	idafa:4;direct_object:2;prep_complement:1			مِن:1	9:94:16;47:31:12;99:4:3
خ ب ر	خبر	GERUND	2	0	0	0	0	accusative_specification:2				18:68:9;18:91:9
خ ب ر	خبر	NOUN_ABSTRACT	2	0	0	0	2	prep_complement:2;conjoined:1			بـ:2	27:7:12;28:29:26
خ ب ر	خبير	ADJ_INTENS	2	0	0	0	0	predication:2;prep_complement:2;adverbial:1			بـ:2	35:31:18;100:11:7
خ ب ر	خبير	ADJ_QUALIT	43	1	0	0	0	prep_complement:28;predication:27;kana_predicate:8;conjoined:4;adjective:4;accusative_specification:2;direct_object:1;circumstantial:1;idafa:1	م ث ل:1		بـ:28	2:234:34;2:271:27;3:153:30;3:180:39;4:35:25;4:94:48;4:128:37;4:135:48;5:8:30;6:18:9
خ ب ز	خبز	NOUN_CONCRETE	1	0	0	0	0	direct_object:1				12:36:20
خ ب ل	خبال	GERUND	2	0	0	0	0	direct_object:2				3:118:12;9:47:7
خ ت ر	ختار	ADJ_INTENS	1	1	0	1	0	idafa:1;adjective:1	ك ل ل:1	ك ف ر:1		31:32:27
خ ت م	خاتم	NOUN_ABSTRACT	1	0	1	0	0	conjoined:1;particle_complement:1;idafa:1				33:40:13
خ ت م	ختام	GERUND	1	1	1	0	0	idafa:2;predication:1				83:26:1
خ ت م	مختوم	NOUN_PASSIVE_PART	1	0	0	0	0	adjective:1				83:25:4
خ د د	أخدود	NOUN_CONCRETE	1	1	0	0	0	idafa:1	ص ح ب:1			85:4:3
خ د د	خد	NOUN_CONCRETE	1	0	0	0	0	direct_object:1				31:18:4
خ د ع	خادع	NOUN_ACTIVE_PART	1	0	0	0	0	direct_object:2;predication:1				4:142:7
خ د ن	أخدان	NOUN_CONCRETE	2	2	0	0	0	idafa:2	أ خ ذ:2			4:25:43;5:5:38
خ ذ ل	خذول	ADJ_INTENS	1	0	0	0	0	kana_predicate:1;prep_complement:1			لـ:1	25:29:14
خ ذ ل	مخذول	NOUN_PASSIVE_PART	1	0	0	0	0	conjoined:1;circumstantial:1				17:22:10
خ ر ب	خراب	GERUND	1	0	0	0	1	prep_complement:1			فِي:1	2:114:15
خ ر ج	إخراج	GERUND	6	2	3	0	2	idafa:5;prep_complement:3;predication:1;conjoined:1;cognate_acc:1	غ ي ر:1		مِن:1;بـ:1;عَلَى:1	2:85:27;2:217:23;2:240:15;9:13:9;60:9:16;71:18:6
خ ر ج	خارج	NOUN_ACTIVE_PART	3	0	0	0	3	prep_complement:6;predication:2			بـ:3;مِن:3	2:167:27;5:37:10;6:122:22
خ ر ج	خراج	NOUN_CONCRETE	1	0	1	0	0	idafa:1;predication:1				23:72:5
خ ر ج	خرج	NOUN_ABSTRACT	2	0	0	0	0	direct_object:2				18:94:16;23:72:3
خ ر ج	خروج	GERUND	5	1	0	0	2	prep_complement:3;predication:2;direct_object:1;idafa:1	ي و م:1		لـ:1;إِلَى:1;كـ:1	9:46:4;9:83:11;40:11:15;50:11:11;50:42:8
خ ر ج	مخرج	GERUND_MEEM	1	0	0	0	0	direct_object:1				65:2:40
خ ر ج	مخرج	NOUN_ACTIVE_PART	3	0	1	0	0	predication:2;direct_object:2;circumstantial:1;conjoined:1;idafa:1;prep_complement:1			مِن:1	2:72:10;6:95:12;9:64:16
خ ر ج	مخرج	NOUN_PASSIVE_PART	4	0	0	0	2	predication:3;prep_complement:3;kana_predicate:1;adverbial:1			مِن:2;بـ:1	15:48:10;23:35:11;26:167:11;27:67:12
خ ر ج	مخرج	NOUN_TIME_PLACE	1	0	1	0	0	cognate_acc:1;idafa:1				17:80:9
خ ر د ل	خردل	NOUN_CONCRETE	2	0	0	0	2	prep_complement:2			مِن:2	21:47:19;31:16:9
خ ر ص	خراص	ADJ_INTENS	1	0	0	0	0	subject:1				51:10:2
خ ر ط م	خرطوم	NOUN_PROP	1	0	0	0	1	prep_complement:1			عَلَى:1	68:16:3
خ ز ن	خازن	NOUN_ACTIVE_PART	1	0	0	0	1	prep_complement:2;predication:1			بـ:1;لـ:1	15:22:17
خ ز ن	خزائن	NOUN_CONCRETE	8	1	8	0	1	idafa:9;predication:6;prep_complement:3;direct_object:1			عَلَى:1;مِن:1;لـ:1	6:50:6;11:31:6;12:55:4;15:21:7;17:100:5;38:9:3;52:37:3;63:7:16
خ ز ن	خزن	NOUN_ACTIVE_PART	3	3	3	0	0	idafa:6;subject:3				39:71:17;39:73:19;67:8:10
خ ز ن	خزن	NOUN_CONCRETE	1	0	1	0	1	prep_complement:1;idafa:1			لـ:1	40:49:7
خ ز ي	أخزى	ADJ_COMP	1	0	0	0	0	predication:1				41:16:20
خ ز ي	خزي	GERUND	11	2	1	1	1	prep_complement:11;predication:6;idafa:3;conjoined:2;exception:1;adjective:1;particle_complement:1;adverbial:1;direct_object:1	ع ذ ب:2	ع ظ م:1	فِي:5;لـ:4;مِن:1;عَلَى:1	2:85:45;2:114:29;5:33:31;5:41:73;9:63:17;10:98:17;11:66:16;16:27:18;22:9:11;39:26:4
خ ز ي	مخزي	NOUN_ACTIVE_PART	1	0	1	0	0	predication:1;idafa:1				9:2:16
خ س أ	خاسئ	NOUN_ACTIVE_PART	3	0	0	0	0	kana_predicate:1;adjective:1;circumstantial:1				2:65:16;7:166:13;67:4:8
خ س ر	أخسر	ADJ_COMP	4	0	0	0	1	prep_complement:3;predication:2;accusative_specification:1;direct_object:1			فِي:2;بـ:1	11:22:7;18:103:5;21:70:7;27:5:12
خ س ر	تخسير	GERUND	1	1	0	0	0	idafa:1	غ ي ر:1			11:63:26
خ س ر	خاسر	NOUN_ACTIVE_PART	33	0	0	0	10	predication:15;kana_predicate:12;prep_complement:12;adverbial:3;circumstantial:2;adjective:2;particle_complement:2			مِن:10;فِي:2	2:27:22;2:64:16;2:121:17;3:85:16;3:149:14;5:5:53;5:21:17;5:30:12;5:53:19;7:23:15
خ س ر	خسار	GERUND	3	0	0	0	0	direct_object:3				17:82:17;35:39:28;71:21:15
خ س ر	خسر	GERUND	2	0	0	0	1	kana_predicate:1;prep_complement:1;predication:1			فِي:1	65:9:9;103:2:4
خ س ر	خسران	GERUND	3	0	0	3	0	adjective:3;predication:2;cognate_acc:1		ب ي ن:3		4:119:34;22:11:28;39:15:20
خ س ر	مخسر	NOUN_ACTIVE_PART	1	0	0	0	1	prep_complement:1;kana_predicate:1			مِن:1	26:181:7
خ ش ب	خشب	NOUN_CONCRETE	1	0	0	1	0	predication:1;adjective:1		س ن د:1		63:4:13
خ ش ع	خاشع	NOUN_ACTIVE_PART	13	0	0	0	1	circumstantial:6;prep_complement:5;predication:4;conjoined:2;exception:1;kana_predicate:1;subject:1;adverbial:1			لـ:2;عَلَى:1;فِي:1;مِن:1	2:45:13;3:199:19;21:90:25;23:2:5;33:35:22;33:35:24;41:39:7;42:45:5;59:21:9;68:43:1
خ ش ع	خشع	NOUN_ACTIVE_PART	1	0	0	0	0	circumstantial:1;subject:1				54:7:1
خ ش ع	خشوع	GERUND	1	0	0	0	0	direct_object:1				17:109:8
خ ش ي	خشي	GERUND	8	0	6	0	5	idafa:6;prep_complement:5;adverbial:2;conjoined:1;accusative_specification:1			مِن:4;كـ:1	2:74:37;4:77:27;4:77:31;17:31:5;17:100:11;21:28:18;23:57:5;59:21:12
خ ص ص	خصاص	NOUN_ABSTRACT	1	0	0	0	0	subject:1				59:9:30
خ ص م	تخاصم	GERUND	1	0	1	0	0	apposition:1;idafa:1				38:64:5
خ ص م	خصام	GERUND	2	1	0	0	1	idafa:1;prep_complement:1	ل د د:1		فِي:1	2:204:20;43:18:9
خ ص م	خصم	ADJ_QUALIT	2	1	0	0	0	idafa:1;adjective:1	ن ب أ:1			38:21:5;43:58:15
خ ص م	خصم	NOUN_CONCRETE	2	0	0	0	0	predication:1;subject:1				22:19:2;38:22:11
خ ص م	خصيم	ADJ_QUALIT	3	0	0	2	0	predication:2;adverbial:2;adjective:2;kana_predicate:1		ب ي ن:2		4:105:20;16:4:8;36:77:12
خ ض د	مخضود	NOUN_PASSIVE_PART	1	0	0	0	0	adjective:1				56:28:3
خ ض ر	أخضر	ADJ_QUALIT	1	0	0	0	0	adjective:1				36:80:6
خ ض ر	خضر	ADJ_QUALIT	6	0	0	0	0	adjective:5;direct_object:1				6:99:17;12:43:15;12:46:15;18:31:19;55:76:4;76:21:4
خ ض ر	مخضر	NOUN_PASSIVE_PART	1	0	0	0	0	kana_predicate:1				22:63:12
خ ض ع	خاضع	NOUN_ACTIVE_PART	1	0	0	0	0	kana_predicate:1;prep_complement:1			لـ:1	26:4:13
خ ط أ	خاطئ	NOUN_ACTIVE_PART	7	0	0	0	2	kana_predicate:4;prep_complement:2;subject:1;adjective:1			مِن:1;بـ:1	12:29:12;12:91:13;12:97:9;28:8:19;69:9:10;69:37:4;96:16:3
خ ط أ	خطأ	GERUND	2	0	0	0	0	exception:1;circumstantial:1				4:92:10;4:92:15
خ ط أ	خطئ	GERUND	1	0	0	1	0	kana_predicate:1;adjective:1		ك ب ر:1		17:31:14
خ ط أ	خطايا	NOUN_ABSTRACT	5	0	0	0	1	direct_object:4;conjoined:1;prep_complement:1			مِن:1	2:58:22;20:73:8;26:51:7;29:12:13;29:12:20
خ ط أ	خطيئ	NOUN_ABSTRACT	5	1	1	0	1	direct_object:3;idafa:2;subject:1;conjoined:1;prep_complement:1			مِن:1	2:81:8;4:112:4;7:161:23;26:82:7;71:25:2
خ ط ب	خطاب	GERUND	1	0	0	0	0	direct_object:1				78:37:12
خ ط ب	خطاب	NOUN_PROP	2	1	0	0	1	idafa:1;prep_complement:1	ف ص ل:1		فِي:1	38:20:9;38:23:18
خ ط ب	خطب	GERUND	1	0	1	0	1	prep_complement:1;idafa:1			مِن:1	2:235:9
خ ط ب	خطب	NOUN_ABSTRACT	5	3	3	0	0	idafa:6;predication:5;vocative:2				12:51:3;15:57:4;20:95:4;28:23:20;51:31:4
خ ط ف	خطف	GERUND_INSTANT	1	0	0	0	0	cognate_acc:1				37:10:4
خ ط و	خطو	GERUND_INSTANT	5	0	5	0	0	direct_object:5;idafa:5				2:168:13;2:208:12;6:142:14;24:21:7;24:21:12
خ ف ض	خافض	NOUN_ACTIVE_PART	1	0	0	0	0	apposition:1				56:3:1
خ ف ف	تخفيف	GERUND	1	0	0	0	0	predication:1;prep_complement:1;conjoined:1			مِن:1	2:178:38
خ ف ف	خفاف	ADJ_QUALIT	1	0	0	0	0	circumstantial:1;conjoined:1				9:41:2
خ ف ف	خفيف	ADJ_QUALIT	1	0	0	0	0	adjective:1				7:189:19
خ ف ي	أخفى	ADJ_COMP	1	0	0	0	0	conjoined:1				20:7:11
خ ف ي	خافي	NOUN_ACTIVE_PART	1	0	0	0	0	subject:1				69:18:6
خ ف ي	خفي	ADJ_QUALIT	2	0	0	0	0	adjective:2				19:3:5;42:45:11
خ ف ي	خفي	GERUND	2	0	0	0	0	conjoined:2				6:63:12;7:55:5
خ ف ي	مستخف	NOUN_ACTIVE_PART	1	0	0	0	0	predication:1;prep_complement:1;conjoined:1			بـ:1	13:10:13
خ ل د	خالد	NOUN_ACTIVE_PART	74	0	0	0	1	prep_complement:72;circumstantial:40;predication:27;adverbial:11;kana_predicate:2;exception:1;conjoined:1			فِي:71;مِن:1	2:25:40;2:39:13;2:81:15;2:82:12;2:162:1;2:217:69;2:257:25;2:275:55;3:15:17;3:88:1
خ ل د	خلد	GERUND	6	5	0	0	0	idafa:5;direct_object:1	ع ذ ب:2;ش ج ر:1;ج ن ن:1;د و ر:1			10:52:8;20:120:12;21:34:8;25:15:6;32:14:14;41:28:10
خ ل د	خلود	GERUND	1	1	0	0	0	idafa:1	ي و م:1			50:34:6
خ ل د	مخلد	NOUN_PASSIVE_PART	2	0	0	0	0	adjective:2				56:17:4;76:19:5
خ ل ص	خالص	NOUN_ABSTRACT	1	0	1	0	1	prep_complement:1;apposition:1;idafa:1			بـ:1	38:46:4
خ ل ص	خالص	NOUN_ACTIVE_PART	6	0	0	0	0	prep_complement:4;circumstantial:2;adjective:2;kana_predicate:1;predication:1;conjoined:1;adverbial:1			مِن:2;لـ:2	2:94:9;6:139:8;7:32:22;16:66:18;33:50:47;39:3:5
خ ل ص	مخلص	NOUN_ACTIVE_PART	20	0	0	0	0	prep_complement:11;circumstantial:10;direct_object:10;adjective:8;predication:1;kana_predicate:1			لـ:11	2:139:19;7:29:14;10:22:40;12:24:25;15:40:4;19:51:8;29:65:8;31:32:9;37:40:4;37:74:4
خ ل ط	خلطاء	NOUN_CONCRETE	1	0	0	0	1	prep_complement:1			مِن:1	38:24:14
خ ل ف	اختلاف	GERUND	7	0	6	1	2	idafa:7;conjoined:6;prep_complement:3;predication:3;direct_object:1;adjective:1		ك ث ر:1	فِي:2;لـ:1	2:164:8;3:190:8;4:82:15;10:6:3;23:80:9;30:22:9;45:5:2
خ ل ف	خالف	NOUN_ACTIVE_PART	1	1	0	0	0	idafa:1	م ع ع:1			9:83:32
خ ل ف	خلائف	ADJ_QUALIT	4	0	1	0	0	direct_object:4;idafa:1;prep_complement:1			فِي:1	6:165:5;10:14:3;10:73:12;35:39:4
خ ل ف	خلاف	GERUND	5	0	1	0	4	prep_complement:4;adverbial:1;idafa:1			مِن:4	5:33:23;7:124:7;9:81:4;20:71:21;26:49:24
خ ل ف	خلاف	NOUN_ABSTRACT	1	1	1	0	0	idafa:2;adverbial:1				17:76:15
خ ل ف	خلف	NOUN_ABSTRACT	11	2	2	0	9	prep_complement:10;idafa:4;conjoined:3;adverbial:1;direct_object:1			مِن:9;لـ:1	3:170:17;4:9:8;7:17:9;8:57:11;13:11:8;25:62:8;36:9:9;41:14:9;41:42:10;46:21:19
خ ل ف	خلف	NOUN_CONCRETE	2	0	0	0	0	subject:2;circumstantial:1				7:169:5;19:59:5
خ ل ف	خلفاء	NOUN_CONCRETE	3	0	1	0	0	direct_object:3;idafa:1				7:69:16;7:74:5;27:62:11
خ ل ف	خليف	ADJ_QUALIT	2	0	0	0	0	direct_object:2;prep_complement:1			فِي:1	2:30:11;38:26:5
خ ل ف	خوالف	NOUN_ACTIVE_PART	2	2	0	0	0	idafa:2	م ع ع:2			9:87:5;9:93:13
خ ل ف	ستخلف	NOUN_PASSIVE_PART	1	0	0	0	0	direct_object:1;prep_complement:1			فِي:1	57:7:10
خ ل ف	مختلف	NOUN_ACTIVE_PART	10	0	0	0	0	subject:7;prep_complement:5;adjective:4;circumstantial:3;predication:2;kana_predicate:1			مِن:3;كـ:1;فِي:1	6:141:14;11:118:13;16:13:7;16:69:15;35:27:13;35:27:22;35:28:8;39:21:18;51:8:5;78:3:4
خ ل ف	مخلف	NOUN_ACTIVE_PART	1	0	1	0	0	direct_object:2;idafa:1				14:47:5
خ ل ف	مخلف	NOUN_PASSIVE_PART	4	0	0	0	1	subject:3;prep_complement:3			مِن:2;لـ:1	9:81:2;48:11:3;48:15:2;48:16:3
خ ل ق	اختلاق	GERUND	1	0	0	0	0	predication:1				38:7:11
خ ل ق	خالق	NOUN_ACTIVE_PART	12	2	4	1	1	predication:9;idafa:6;prep_complement:3;direct_object:2;adjective:1;conjoined:1	ح س ن:2	غ ي ر:1	مِن:3	6:102:8;13:16:49;15:28:8;23:14:25;35:3:10;37:125:6;38:71:7;39:62:2;40:62:4;52:35:8
خ ل ق	خلاق	ADJ_INTENS	5	0	0	1	2	prep_complement:8;predication:4;particle_complement:1;adjective:1		ع ل م:1	لـ:3;فِي:3;مِن:2	2:102:84;2:200:29;3:77:13;15:86:4;36:81:17
خ ل ق	خلاق	GERUND	2	2	2	0	2	idafa:4;prep_complement:2			بـ:2	9:69:17;9:69:29
خ ل ق	خلاق	NOUN_ABSTRACT	1	1	1	0	1	idafa:2;prep_complement:1			بـ:1	9:69:21
خ ل ق	خلق	GERUND	53	5	17	10	20	prep_complement:26;idafa:22;direct_object:16;predication:12;conjoined:11;adjective:10;circumstantial:2;cognate_acc:2;accusative_specification:2;subject:1	أ و ل:1;ك ل ل:1;ب ع د:1	ج د د:8;أ خ ر:1;أ و ل:1	فِي:11;مِن:6;بـ:4;لـ:2;كـ:2;عَن:1	2:164:3;3:190:3;3:191:13;4:119:21;7:54:32;7:69:24;10:4:9;10:34:7;10:34:13;13:5:13
خ ل ق	خلق	NOUN_ABSTRACT	1	0	0	1	1	prep_complement:1;predication:1;adjective:1		ع ظ م:1	عَلَى:1	68:4:5
خ ل ق	مخلق	NOUN_PASSIVE_PART	2	1	0	0	0	adjective:1;conjoined:1;idafa:1	غ ي ر:1			22:5:24;22:5:27
خ ل ل	خلال	NOUN_ABSTRACT	2	1	1	0	0	adverbial:2;idafa:2				17:91:12;27:61:7
خ ل ل	خليل	ADJ_QUALIT	3	0	0	0	0	direct_object:3				4:125:22;17:73:18;25:28:7
خ ل ل	لأخلاء	ADJ_QUALIT	1	0	0	0	0	predication:1;exception:1				43:67:1
خ ل و	خالي	NOUN_ACTIVE_PART	1	0	0	0	0	adjective:1				69:24:10
خ ل و	خل	GERUND	1	0	0	0	0	conjoined:1				2:254:18
خ م د	خامد	NOUN_ACTIVE_PART	2	0	0	0	0	circumstantial:1;adjective:1;predication:1;adverbial:1				21:15:9;36:29:9
خ م ر	خمر	NOUN_CONCRETE	7	0	0	1	4	conjoined:5;prep_complement:4;direct_object:2;predication:1;adjective:1		ل ذ ذ:1	عَن:1;فِي:1;بـ:1;مِن:1	2:219:3;5:90:6;5:91:11;12:36:11;12:41:9;24:31:22;47:15:22
خ م س	خامس	NOUN_NUM	2	0	0	0	0	predication:2				24:7:2;24:9:2
خ م س	خمس	NOUN_ABSTRACT	1	0	0	0	0	particle_complement:1				8:41:11
خ م س	خمس	NOUN_NUM	5	0	1	0	1	exception:2;accusative_specification:2;conjoined:2;prep_complement:1;idafa:1;quoted_complement:1;particle_complement:1;kana_predicate:1			بـ:1	3:125:14;18:22:7;29:14:14;58:7:23;70:4:10
خ م ص	مخمص	GERUND_MEEM	2	0	0	0	1	prep_complement:1;conjoined:1			فِي:1	5:3:71;9:120:34
خ م ط	خمط	NOUN_CONCRETE	1	0	0	0	0	conjoined:2;apposition:1				34:16:15
خ ن ز ر	خنازير	NOUN_CONCRETE	1	0	0	0	0	conjoined:1				5:60:21
خ ن ز ر	خنزير	NOUN_CONCRETE	4	4	0	0	0	idafa:4	ل ح م:4			2:173:9;5:3:8;6:145:21;16:115:9
خ ن س	خناس	ADJ_INTENS	1	0	0	0	0	adjective:1				114:4:4
خ ن س	خنس	ADJ_QUALIT	1	0	0	0	1	prep_complement:1			بـ:1	81:15:5
خ ن ق	منخنق	NOUN_ACTIVE_PART	1	0	0	0	0	conjoined:1				5:3:17
خ و ر	خوار	GERUND	2	0	0	0	0	prep_complement:2;predication:2;apposition:1			لـ:2	7:148:12;20:88:8
خ و ض	خائض	NOUN_ACTIVE_PART	1	1	0	0	0	idafa:1	م ع ع:1			74:45:5
خ و ض	خوض	GERUND	2	0	0	0	2	prep_complement:2;predication:1			فِي:2	6:91:49;52:12:4
خ و ف	تخوف	GERUND	1	0	0	0	1	prep_complement:1			عَلَى:1	16:47:4
خ و ف	تخويف	GERUND	1	0	0	0	0	adverbial:1				17:59:27
خ و ف	خائف	NOUN_ACTIVE_PART	3	0	0	0	0	circumstantial:2;kana_predicate:1				2:114:24;28:18:5;28:21:4
خ و ف	خوف	GERUND	26	1	0	0	3	prep_complement:18;predication:12;conjoined:12;circumstantial:3;particle_complement:2;adverbial:2;subject:2;clausal_complement:1;idafa:1	ب ع د:1		عَلَى:15;مِن:3	2:38:16;2:62:29;2:112:17;2:155:7;2:262:23;2:274:19;2:277:20;3:170:19;4:83:8;5:69:23
خ و ف	خيف	GERUND	5	0	0	0	2	direct_object:4;prep_complement:2			مِن:1;كـ:1	11:70:12;13:13:9;20:67:5;30:28:23;51:28:4
خ و ف	خيف	GERUND_STATE	1	0	0	0	0	conjoined:1				7:205:8
خ و ل	أخوال	NOUN_CONCRETE	1	1	0	0	0	idafa:1	ب ي ت:1			24:61:43
خ و ل	خال	NOUN_CONCRETE	4	3	0	0	0	idafa:3;conjoined:1	ب ن ي:2;ب ي ت:1			4:23:11;24:61:46;33:50:27;33:50:30
خ و ن	خائن	NOUN_ABSTRACT	2	0	1	0	1	prep_complement:2;exception:1;direct_object:1;idafa:1;conjoined:1			عَلَى:1;مِن:1	5:13:26;40:19:2
خ و ن	خائن	NOUN_ACTIVE_PART	3	1	0	0	1	prep_complement:1;direct_object:1;idafa:1	ك ي د:1		لـ:1	4:105:19;8:58:16;12:52:15
خ و ن	خوان	ADJ_INTENS	2	1	0	2	0	adjective:2;kana_predicate:1;idafa:1	ك ل ل:1	أ ث م:1;ك ف ر:1		4:107:14;22:38:12
خ و ن	خيان	GERUND	2	0	0	0	0	direct_object:2				8:58:6;8:71:4
خ و ي	خاوي	NOUN_ACTIVE_PART	5	0	0	0	0	prep_complement:4;predication:3;circumstantial:1;adjective:1			عَلَى:3;بـ:1	2:259:9;18:42:15;22:45:11;27:52:4;69:7:17
خ ي ب	خائب	NOUN_ACTIVE_PART	1	0	0	0	0	circumstantial:1				3:127:11
خ ي ر	أخيار	ADJ_QUALIT	2	0	0	0	1	adjective:1;prep_complement:1			مِن:1	38:47:7;38:48:12
خ ي ر	خير	ADJ_COMP	101	1	23	0	0	predication:94;prep_complement:50;idafa:24;conjoined:17;accusative_specification:10;adverbial:5;subject:2;particle_complement:2;clausal_complement:1;kana_predicate:1	أ ذ ن:1		لـ:33;مِن:17	2:54:23;2:61:38;2:103:12;2:184:29;2:184:34;2:197:31;2:220:13;2:221:11;2:221:27;2:263:5
خ ي ر	خير	GERUND	57	0	0	2	13	prep_complement:38;direct_object:23;kana_predicate:9;accusative_specification:5;predication:4;conjoined:4;adjective:3;subject:3;particle_complement:1;cognate_acc:1		ك ث ر:2	مِن:25;لـ:11;فِي:2	2:105:15;2:110:13;2:158:25;2:180:9;2:184:26;2:197:24;2:215:8;2:215:25;2:216:15;2:269:12
خ ي ر	خير	NOUN_ABSTRACT	30	4	0	1	19	prep_complement:24;idafa:4;direct_object:3;conjoined:2;predication:2;adjective:1;subject:1	ح ب ب:2;ف ع ل:1;د ع و:1	ح س ن:1	بـ:11;فِي:5;مِن:3;لـ:3;إِلَى:1;عَلَى:1	2:106:9;2:148:9;3:15:4;3:26:24;3:104:8;3:114:17;5:48:49;6:17:17;7:188:22;9:88:16
خ ي ط	خياط	NOUN_CONCRETE	1	1	0	0	0	idafa:1	س م م:1			7:40:24
خ ي ط	خيط	NOUN_CONCRETE	2	0	0	2	1	adjective:2;prep_complement:2;subject:1		ب ي ض:1;س و د:1	مِن:2	2:187:44;2:187:47
خ ي ل	خيل	NOUN_CONCRETE	5	1	0	1	2	conjoined:5;prep_complement:2;adjective:1;idafa:1;accusative_specification:1;direct_object:1	ر ب ط:1	س و م:1	بـ:1;مِن:1	3:14:18;8:60:12;16:8:2;17:64:10;59:6:13
خ ي ل	مختال	NOUN_PASSIVE_PART	3	2	0	2	0	idafa:2;adjective:2;kana_predicate:1;conjoined:1	ك ل ل:2	ف خ ر:2		4:36:45;31:18:18;57:23:18
خ ي م	خيام	NOUN_CONCRETE	1	0	0	0	1	prep_complement:1			فِي:1	55:72:4
د أ ب	دأب	GERUND	3	0	3	0	3	prep_complement:3;idafa:3			كـ:3	3:11:2;8:52:2;8:54:2
د أ ب	دأب	NOUN_ABSTRACT	2	1	1	0	0	idafa:2;circumstantial:1	م ث ل:1			12:47:5;40:31:2
د أ ب	دائب	NOUN_ACTIVE_PART	1	0	0	0	0	circumstantial:1				14:33:7
د أ ب	داب	NOUN_CONCRETE	14	3	1	3	9	prep_complement:12;idafa:4;direct_object:3;adjective:3;subject:2;conjoined:1;predication:1;exception:1	ك ل ل:3	ك ل م:1;ح م ل:1;أ ك ل:1	مِن:10;فِي:2	2:164:41;6:38:4;11:6:4;11:56:10;16:49:13;16:61:12;24:45:5;27:82:9;29:60:5;31:10:21
د ب ب	دواب	NOUN_CONCRETE	4	2	0	0	1	idafa:2;conjoined:2;prep_complement:1	ش ر ي:2		مِن:1	8:22:3;8:55:3;22:18:25;35:28:5
د ب ر	أدبار	NOUN_ABSTRACT	9	1	2	0	2	direct_object:6;idafa:3;prep_complement:2;adverbial:1;conjoined:1			عَلَى:2	3:111:9;8:15:13;15:65:11;17:46:21;33:15:11;47:25:5;48:22:8;50:40:7;59:12:19
د ب ر	أدبار	NOUN_CONCRETE	4	0	0	0	2	prep_complement:2;conjoined:2			عَلَى:2	4:47:21;5:21:14;8:50:12;47:27:9
د ب ر	إدبار	GERUND	1	0	1	0	0	adverbial:1;conjoined:1;idafa:1				52:49:7
د ب ر	دابر	NOUN_ABSTRACT	4	0	4	0	0	idafa:4;direct_object:2;subject:1;particle_complement:1				6:45:3;7:72:11;8:7:27;15:66:7
د ب ر	دبر	NOUN_ABSTRACT	5	0	0	0	3	prep_complement:3;direct_object:2			مِن:3	8:16:5;12:25:8;12:27:7;12:28:7;54:45:5
د ب ر	مدبر	NOUN_ACTIVE_PART	9	0	0	0	0	circumstantial:8;direct_object:1				9:25:28;21:57:10;27:10:11;27:80:12;28:31:12;30:52:13;37:90:4;40:33:3;79:5:2
د ث ر	مدثر	NOUN_ACTIVE_PART	1	0	0	0	0	apposition:1				74:1:3
د ح ر	دحور	GERUND	1	0	0	0	0					37:9:1
د ح ر	مدحور	NOUN_PASSIVE_PART	3	0	0	0	0	circumstantial:3;conjoined:2				7:18:5;17:18:18;17:39:20
د ح ض	داحض	NOUN_ACTIVE_PART	1	0	0	0	0	predication:1;adverbial:1				42:16:12
د ح ض	مدحض	NOUN_PASSIVE_PART	1	0	0	0	1	prep_complement:1;kana_predicate:1			مِن:1	37:141:6
د خ ر	داخر	NOUN_ACTIVE_PART	4	0	0	0	0	predication:2;circumstantial:2				16:48:21;27:87:22;37:18:5;40:60:14
د خ ل	داخل	NOUN_ACTIVE_PART	2	1	0	0	0	predication:1;idafa:1	م ع ع:1			5:22:21;66:10:32
د خ ل	دخل	NOUN_ABSTRACT	2	0	0	0	0	direct_object:2				16:92:14;16:94:5
